acetaldehyde_ppb,acetone_ppb,acetonitrile_ppb,BC_mass,BC_number,benzene_ppb,c9_aromatics_ppb,CCN_ColA,CCN_ColB,CH4,CNC_Conc,CO2_ppm,CO_AERO,GPS_ALT,isoprene_furan_ppb,LAT_GPS,LON_GPS,mek_ppb,methanol_ppb,monoterpenes_ppb,mvk_macr_ppb,NO,NO2,NO2_pptV,NO_pptV,O3_TECO,Scatter_number,SS_ColA,SS_ColB,TC,toluene_ppb,TWC_DET,TWC_EVAP1,TWC_EVAP2,Var32,VMR_CR2
-0.759,0,-0.022,0,0,-0.356,-0.642,0,0,0,0,0,-1.056909561,0,-1.104,-8.890930176,-64.99588013,-0.3,-0.562,-0.708,-0.69,-24,-67.91,-67.91,-24,-8.139503479,0,0,0,30542,-0.385,1987.0625,0.010791108,0.090817243,NaN,363.7727051
2.407,2.096,0.49,1455.34,945.72,0.512,0.782,5323.96,8601.54,9999.99,0,422.96,11236.69531,7166.125,11.62,0,0,0.751,4.505,1.226,12.445,597.27,1596.64,1596.64,597.27,176.0673218,411.539,0.3363,0.1541,57071,0.494,4086.234375,10.10175705,10.13899994,NaN,48215.75
