TC,LAT_GPS,LON_GPS,GPS_ALT,O3_TECO,CO_AERO,NO_pptV,NO2_pptV,NO,NO2,SS_ColA,CCN_ColA,SS_ColB,CCN_ColB,CNC_Conc,CO2_ppm,CH4,BC_mass,BC_number,Scatter_number,methanol_ppb,acetonitrile_ppb,acetaldehyde_ppb,acetone_ppb,isoprene_furan_ppb,mvk_macr_ppb,mek_ppb,benzene_ppb,toluene_ppb,c9_aromatics_ppb,monoterpenes_ppb
56621,-3.04218101501465,-59.8741455078125,636.1875,21.0496063232422,151.253173828125,0,0,0,0,0.3283,570.8,0.1361,303.51,-9999,390.35,1807.49,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56622,-3.04299068450928,-59.8748474121094,640.75,21.4440383911133,155.805419921875,0,0,0,0,0.3284,631.14,0.1362,295.33,-9999,389.65,1807.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56623,-3.04374885559082,-59.8755645751953,643.625,21.4440383911133,158.650634765625,0,0,0,0,0.3283,564.42,0.1361,288.41,-9999,390.74,1804.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56624,-3.04446983337402,-59.8762969970703,646.625,21.5426635742188,146.511291503906,0,0,0,0,0.3283,520.74,0.1361,270.79,-9999,390.35,1806.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56625,-3.0451602935791,-59.8770751953125,648.9375,21.4440383911133,149.546142578125,0,0,0,0,0.3283,583.79,0.1361,294.84,-9999,390.39,1806.97,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56626,-3.04581832885742,-59.8778533935547,651.125,21.0496063232422,151.822326660156,0,0,0,0,0.3283,635.58,0.1361,291.69,-9999,390.11,1806.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56627,-3.04643821716309,-59.878662109375,653.6875,20.9509811401367,148.218383789063,0,0,0,0,0.3284,607.08,0.1362,266.98,-9999,389.8,1806.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56628,-3.04702186584473,-59.8795013427734,655.5625,20.9509811401367,151.253173828125,0,0,0,0,0.3283,584.49,0.1361,309.04,-9999,389.97,1806.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56629,-3.04757404327393,-59.8803558349609,656.25,20.9509811401367,154.098388671875,0,0,0,0,0.3283,663.58,0.1361,293.08,-9999,389.52,1805.85,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56630,-3.04808712005615,-59.8812255859375,657.8125,20.4579238891602,148.408020019531,-9999,-9999,-9999,-9999,0.3282,682.68,0.136,354.54,-9999,389.29,1806.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56631,-3.04856872558594,-59.8821105957031,658.8125,20.4579238891602,147.839050292969,0,0,0,0,0.3283,785.61,0.1361,321.4,-9999,389.83,1807.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56632,-3.04902362823486,-59.8830108642578,658.1875,20.4579238891602,152.391296386719,0,0,0,0,0.3282,673.83,0.136,299.86,-9999,389.8,1807.45,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56633,-3.0494384765625,-59.8839263916016,657.8125,20.4579238891602,150.494567871094,0,0,0,0,0.3282,736.13,0.136,326.14,-9999,389.83,1807.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56634,-3.04981517791748,-59.8848571777344,656.875,19.9648666381836,153.90869140625,0,0,0,0,0.3283,674.77,0.1361,306.02,-9999,390.31,1807.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56635,-3.05015754699707,-59.8858032226563,656,19.8662414550781,151.632507324219,0,0,0,0,0.3284,658.48,0.1362,281.77,-9999,390.22,1806.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56636,-3.05046558380127,-59.8867492675781,654.8125,19.9648666381836,148.408020019531,0,0,0,0,0.3283,695.34,0.1361,301.16,-9999,389.85,1806.72,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56637,-3.05074596405029,-59.8877105712891,651.1875,19.8662414550781,150.115112304688,0,0,0,0,0.3284,638.88,0.1362,311.88,-9999,390.36,1806.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56638,-3.05098247528076,-59.888671875,648.25,20.4579238891602,146.890625,0,0,0,0,0.3283,707.54,0.1361,287.19,-9999,389.96,1807.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56639,-3.05117416381836,-59.8896484375,645.625,20.4579238891602,155.805419921875,0,0,0,0,0.3283,695.88,0.1361,301.79,-9999,390.62,1809.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56640,-3.05132961273193,-59.8906097412109,642.25,20.3592987060547,152.960266113281,43.6,100.2,43.6,100.2,0.3284,689.69,0.1362,239.41,-9999,390.62,1807.23,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56641,-3.05144882202148,-59.8915863037109,639.5,20.4579238891602,148.408020019531,0,0,0,0,0.3283,655.29,0.1361,266.25,-9999,389.84,1807.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56642,-3.0515308380127,-59.8925628662109,637.125,20.4579238891602,148.028686523438,0,0,0,0,0.3284,712.35,0.1362,256.71,-9999,390.4,1805.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56643,-3.05158233642578,-59.8935394287109,635.3125,20.4579238891602,148.028686523438,0,0,0,0,0.3283,649.02,0.1361,232.9,-9999,390.86,1807.54,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56644,-3.05161094665527,-59.8945159912109,635.25,20.4579238891602,151.063537597656,0,0,0,0,0.3289,5109.34,0.1365,356.46,-9999,390.21,1806.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56645,-3.05160331726074,-59.8954925537109,637.125,20.4579238891602,149.3564453125,0,0,0,0,0.3286,150.18,0.1363,23.04,-9999,389.65,1804.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56646,-3.05156803131104,-59.8964538574219,640.5,20.4579238891602,148.218383789063,0,0,0,0,0.3285,159.62,0.1363,38.74,-9999,389.55,1805.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56647,-3.05151462554932,-59.8973999023438,644.3125,20.4579238891602,146.890625,0,0,0,0,0.3283,168.85,0.1361,93.79,-9999,389.61,1804.31,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56648,-3.05144500732422,-59.8983459472656,649.3125,20.3592987060547,146.700927734375,0,0,0,0,0.3282,161.11,0.1361,122.52,-9999,389.7,1805.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56649,-3.05136013031006,-59.8992919921875,654.25,20.4579238891602,147.839050292969,0,0,0,0,0.3281,163.33,0.136,101.33,-9999,390.1,1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56650,-3.0512638092041,-59.9002227783203,658.6875,21.9371032714844,157.133178710938,29.73,115.09,29.73,115.09,0.3279,161.95,0.1359,114.44,-9999,390.37,1804.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56651,-3.05115795135498,-59.9011383056641,662,22.0357284545898,155.426147460938,0,0,0,0,0.3279,220.36,0.1359,153.22,-9999,389.58,1805.17,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56652,-3.05104351043701,-59.9020538330078,664.8125,22.0357284545898,150.494567871094,0,0,0,0,0.3274,883.05,0.1355,649.02,-9999,389.17,1803.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
